classification,sample,redir_no,redir_time,node_depth,requests_no,port_80,domain_is_ip,domain_len_avg,domain_entropy_avg,uri_len_avg,uri_entropy_avg,uri_ch_slash_total,uri_ch_slash_avg,uri_ch_amp_total,uri_ch_amp_avg,uri_ch_dash_total,uri_ch_dash_avg,uri_ch_plus_total,uri_ch_plus_avg,response_len_total,response_len_avg,bytes_shockwave_total,bytes_shockwave_avg,bytes_x-dosexec_total,bytes_x-dosexec_avg,bytes_java_total,bytes_java_avg,bytes_silverlight_total,bytes_silverlight_avg,bytes_javascript_total,bytes_javascript_avg,bytes_xml_total,bytes_xml_avg,bytes_zip_total,bytes_zip_avg,bytes_image_total,bytes_image_avg,bytes_html_total,bytes_html_avg,redir_referrer,redir_location,redir_html,redir_js,redir_iframe,redir_subdomain,redir_concat,redir_base64,redir_unknown,tld
0,megatorrentshd.org[0],0,0.0,0,96,1,0,21.95833333333333,3.5714642521901236,63.61458333333334,4.420237385962683,466,4.854166666666667,0,0.0,410,4.270833333333333,0,0.0,1966144,20480.666666666668,0,0.0,0,0.0,0,0.0,0,0.0,219827,0.11180615458481168,0,0.0,0,0.0,1213449,0.6171719874027538,389571,0.1981396072718987,0,0,0,0,0,0,0,0,0,org
0,megatorrentshd.org[0],1,0.0,1,1,1,0,19.0,3.5368867237421693,34.0,3.723800253703273,5,5.0,0,0.0,0,0.0,0,0.0,282766,282766.0,0,0.0,0,0.0,0,0.0,0,0.0,282766,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,com
0,porno365.blog[3],0,0.0,0,1,1,0,13.0,3.3346791410515952,12.0,3.084962500721156,1,1.0,0,0.0,0,0.0,0,0.0,4286,4286.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4286,1.0,0,0.0,0,0,0,0,0,0,0,0,0,blog
0,porno365.blog[3],1,0.0,1,1,1,0,14.0,3.3787834934861767,16.0,3.577819531114783,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,com
0,himasoku.com[12],0,0.0,0,68,1,0,12.0,3.2516291673878204,23.632352941176467,3.8245703923315717,134,1.9705882352941175,14,0.2058823529411765,42,0.6176470588235294,0,0.0,1690046,24853.61764705882,0,0.0,0,0.0,0,0.0,0,0.0,12093,0.0071554265386859295,0,0.0,0,0.0,1504529,0.8902296150518979,135846,0.08038006066107076,0,0,0,0,0,0,0,0,0,com
0,himasoku.com[12],1,0.008,1,2,1,0,19.0,3.681880802803404,16.5,3.5243559928977435,3,1.5,0,0.0,0,0.0,0,0.0,6523,3261.5,0,0.0,0,0.0,0,0.0,0,0.0,6523,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0,1,0,0,0,0,0,net
1,2016-08-29-Rig-EK-first-run_missingC,0,0.0,0,1,1,0,24.0,3.6053885422075336,12.0,3.584962500721156,1,1.0,0,0.0,0,0.0,0,0.0,250,250.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,250,1.0,0,0,0,0,0,0,0,0,0,cl
1,2016-08-29-Rig-EK-first-run_missingC,1,1.633,1,3,1,0,12.0,3.4182958340544887,213.33333333333331,5.8014515970329725,3,1.0,1,0.3333333333333333,10,3.333333333333333,0,0.0,238668,79556.0,46081,0.19307573700705585,188928,0.7915933430539495,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3659,0.015330919938994754,1,0,0,0,0,0,0,0,0,top
0,lotteimall.com[0],0,0.0,0,50,1,0,18.0,3.197159723424148,30.98,3.6309108470625735,164,3.28,4,0.08,7,0.14,0,0.0,2104035,42080.7,0,0.0,0,0.0,0,0.0,0,0.0,1062603,0.505031047487328,0,0.0,0,0.0,5686,0.002702426528075816,241172,0.11462356852428784,0,0,0,0,0,0,0,0,0,com
0,lotteimall.com[0],1,0.924,1,1,1,0,36.0,3.884795487373133,19.0,3.426367488473228,1,1.0,0,0.0,0,0.0,0,0.0,563498,563498.0,0,0.0,0,0.0,0,0.0,0,0.0,563498,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,com
1,2016-05-25-Rig-EK-first-run_missingC,0,0.0,0,1,1,0,15.0,3.640223928941852,58.0,4.570549366454174,4,4.0,0,0.0,1,1.0,0,0.0,333,333.0,0,0.0,0,0.0,0,0.0,0,0.0,333,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,com.pl
1,2016-05-25-Rig-EK-first-run_missingC,1,0.574,1,3,1,0,22.0,3.788754913993503,221.33333333333331,5.795214825150001,3,1.0,0,0.0,11,3.6666666666666665,0,0.0,45404,15134.666666666664,40490,0.8917716500748832,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4914,0.10822834992511672,0,0,0,1,1,0,0,0,0,com
